,Time,Distance,Avg HR,Max HR,Elev Gain,Elev Loss,Avg Run Cadence,Calories,Avg Temperature,Max Run Cadence,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap,File name,Date,Start time,Type
0,2072.0,8.02,136,149.0,40,61,81,361,17.8,86,136.0,7.125254695730642,5.536268125418185,259.6431196343648,260.9195273741617,273.2967032967033,Szymon+_ywko+_2019-11-08_10-56-59.CSV,2019-11-08,10-56-59,-1
0,524.0,2.03,147,158.0,0,0,82,104,18.8,88,150.0,8.994955245210603,19.127569981418205,268.5813852424624,268.5813852424624,287.7089552238806,Szymon+_ywko+_2020-04-15_14-25-22.CSV,2020-04-15,14-25-22,-1
0,605.0,2.11,134,140.0,0,0,81,103,25.4,88,135.0,5.591197610896171,8.068075657098603,287.4284996853671,287.4284996853671,295.49657534246575,Szymon+_ywko+_2019-10-26_16-22-19.CSV,2019-10-26,16-22-19,-1
0,1741.0,3.98,169,177.0,0,0,66,434,23.0,90,173.0,8.779854899526734,204.85040835612847,433.7708284623178,432.27082142176124,668.8473282442748,Szymon+_ywko+_2020-01-07_18-26-32.CSV,2020-01-07,18-26-32,-1
0,1185.0,4.47,152,175.0,0,0,81,247,18.6,90,154.0,16.1961499581238,79.67002927017063,273.650406504065,305.335708839879,460.98867924528304,Szymon+_ywko+_2020-03-28_17-25-02.CSV,2020-03-28,17-25-02,-1
0,2848.0,12.06,160,174.0,15,26,83,646,14.4,88,167.0,15.450881970760353,16.297932783812925,214.5305164319249,220.81719655803283,256.59448818897636,Szymon+_ywko+_2019-12-24_10-49-00.CSV,2019-12-24,10-49-00,-1
0,1054.0,2.82,129,156.0,10,15,75,157,16.3,100,133.0,14.877653335215145,74.46629787802026,364.4920913884007,349.7376090581179,432.6630434782609,Szymon+_ywko+_2019-12-03_11-58-25.CSV,2019-12-03,11-58-25,-1
0,736.0,2.78,133,149.0,0,0,79,121,25.7,96,136.0,9.340830570073122,45.06804056409413,273.4941634241245,289.73098528658636,351.2251082251082,Szymon+_ywko+_2019-10-26_15-17-40.CSV,2019-10-26,15-17-40,-1
0,2679.0,10.04,141,151.0,35,30,82,497,28.0,99,143.0,7.458840185303805,14.61745751766609,268.7631924646431,272.9750273987809,312.98513011152414,Szymon+_ywko+_2019-09-01_09-26-39.CSV,2019-09-01,09-26-39,-1
0,2413.0,9.61,144,154.0,0,0,80,466,21.9,85,146.0,10.839177448820758,9.638782949090396,252.68577075098815,254.4224551899954,276.3861003861004,Szymon+_ywko+_2020-03-27_14-12-54.CSV,2020-03-27,14-12-54,-1
